Alpha Site,阿尔法研究站,noun,,通灵塔任务中出现
Altair Exotech,牵牛星科技,noun,,中科设计企业之一
APCC,APCC,noun,,Agreus 临时商业协定的缩写
Apogee-class,至高点-级,noun,,不是制高点
Apprentice,学徒,noun,,
ARCist,Askonia 革命者委员会,noun,Antis,与Askonia革命有关，对抗辛达强权
auxiliary,辅助军,noun,,霸主的正规军外编制，比如签雇佣协议的玩家舰队
Battlestation,作战基地,noun,,
Bhilai Astra Group,比莱空间集团,noun,,企业名，人之领时期的一家重武器制造商，同时也是第200军团的主要供货商
Blueprint,蓝图,noun,,
Blueprint Package,蓝图包,noun,,
captain,舰长,noun,,统一使用，不要写船长
Chief Administrator,首席执行官,noun,,
Chief Commissioner,委员长,noun,Head Commissioner,
Collapse,大崩塌,noun,,
Combined Fleet Intelligence,联合舰队情报部,noun,,英仙座联盟的部门
comm id,通讯 ID,noun,,
Comm link,通讯链接,noun,,请注意 链接 和 连接 的区别
Comm Relay,通讯中继站,noun,,
command point,指挥点,noun,,
Commissioner,委员,noun,,
comms officer,通讯官,noun,,玩家舰队中的专业人士
COMSEC,COMSEC,noun,,不译，霸主部门 Commucation Security
connection request,连接请求,noun,,comm xx才是链接
Contacts,联络人,noun,,
core worlds,核心世界,noun,,地名，基本上由霸主控制的星系群
Coronal Hypershunt,星冕分流器,noun,,
Councilor,委员,noun,Councilors,
credit,星币,noun,credits,请不要翻译成信用
crest,徽标,noun,,涉及势力的用徽标，家族等可使用纹章
Cruiser School,巡洋学派,noun,,
cycle,星历年,noun,cycles,
datapad,数据平板,noun,,
Debris field,残骸区,noun,,不再译成 残骸场
derelict,遗弃船,noun,,
diamond-matrix,金刚石方窗,noun,,
Distress Call,求救呼号,noun,,一种主动能力，困在边缘星区的时候可以用它叫人过来
Domestic Security,内部安全部,noun,,英仙座联盟的部门，DomSec缩写为内安部
DomSec,内安部,noun,,domestic security缩写
drive bubble,驱动泡,noun,,
drive field,驱动力场,noun,,
drone warship,无人战舰,noun,,
Emergency Burn,紧急加速,verb,e-burn,常缩写为e-burn
Enforcer,执法者,noun,,旧称：压迫者
Eridani-Utopia Terraforming Corporation,天苑四-乌托邦地貌改造集团,noun,Eridani-Utopia Corporation,
EVA,舱外活动,noun,,
executive council,执行委员会,noun,,Laicaille栖息地的政体
Explorarium,开拓者,noun,,设计类型
Fabrique Orbitale,轨道工厂制造公司,noun,,企业名
faction,势力,noun,factions,不用派系
freelancer,自由佣兵,noun,,
fringe ideologies,小众意识形态,noun,,用于寻找院士任务前往Cavin住处的那几段
Fusion Lamp,聚变射灯,noun,,
Galatia Academy,Galatia 学院,noun,,在rules等地请适当加上{}
Galatia Academy Station,Galatia 学院空间站,noun,,
Gate scanner,星门扫描仪,noun,,
Graviton Beam,引力子束,noun,,旧称：引力子激光
Gryphon,狮鹫,noun,,旧称：鹰头狮
Guayota's Disk,Guayota 吸积盘,noun,,新Maxios附近的地形，位于Magec星系
hazard pay,风险补贴,noun,hazard bonus,
Head Researcher,首席研究员,noun,,
HEGCOM,HEGCOM,noun,,霸主部门，Hegmony Commucation
hegemony,霸主,noun,,请不要翻译成霸权主义
HEGINT,HEGINT,noun,,霸主部门，Hegmony Intelligance
High Hegemon,至高霸主,noun,,
high tech,扩展纪元,noun,high-tech,
holding pattern,等候界面,noun,,
Holy Ludd,圣卢德,noun,,
hyperdrive,超空间引擎 / 超空间驱动,noun,,指物体时译作引擎，与其它词合用时译作驱动，例如超空间驱动力场
Hypershunt Tap,超分流阀门,noun,,
Hyperwave,超波,noun,,
Ibrahim Interstellar Transport and Salvage,Ibrahim 星际运输与打捞公司,noun,,自由联盟子势力，剧情
instrument package,仪器套件,noun,,
Janus Device,"""双面神""装置",noun,,
jump-point,跳跃点,noun,,用于进出超空间的通道
Kallichore Archive,Kallichore 的档案,noun,,主线任务分支1
Kanta's Den,Kanta 之巢,noun,,地名
Knights of Ludd,卢德骑士团,noun,,
Ko Combine,Ko 联合实业,noun,,o是小写
lieutenant,上尉,noun,,大部分情况如此，请根据具体语境使用
Lion of Sindria,辛达瑞亚之狮,noun,,辛达强权领袖的称呼之一
low tech,主宰纪元,noun,low-tech,
Ludd,卢德,noun,,
Mammon,恶魔玛门,noun,,双子恶魔之一，卢德教会用语
Mbaye-Gogol,姆巴耶-果戈尔,noun,,企业名
microsat,微型卫星,noun,,
midline,核心纪元,noun,,
Ministry of Commerce,商务部,noun,,
Ministry of Technology Standards,科技标准部,noun,,
Moloch,恶魔摩洛克,noun,,双子恶魔之一，卢德教会用语
mote,光尘,noun,,
nanoforge production slots,纳米锻炉生产订单,noun,,
nascent gravity well,亚临界重力井,noun,,星球级别的重力井，但没有达到形成跳跃点的程度
Nav Buoy,导航浮标,noun,,
nav officer,导航技师,noun,,玩家舰队中的专业人士
Neutrino Detector,中微子探测器,noun,,
Nexus,中枢,noun,,余晖空间站名称
omega,欧米伽,noun,,不是欧米茄
operations chief,行动长官,noun,ops chief,玩家舰队中的专业人士
Orange Star,橙矮星,noun,,
Orbital Station,轨道站,noun,,
orbital works,轨道工业设施,noun,,
Pather,左径分子,noun,,
Pather Cell,左径狂信徒组织,noun,,
Persean Sector,英仙座星域,noun,,
phase space,相位空间,noun,p-space,启动相位线圈（相位隐形）、相位切跃器（闪现）或相位传送器之后船只进入的高维空间。
portboss,港口老大,noun,,海盗空间站管理rank
privacy field,私人力场,noun,,
Probe,探测器,noun,,
Provenance Supply Stock Combine,原产地供应库存联合公司,noun,PSSC,
Provost,院长,noun,,一般指Galatia学院的院长Baird
pseudo-AI,拟AI,noun,,
Remnant,余晖,noun,Remnants,
resonance cascade,谐振级联反应,noun,,超空间原理部分
Safety Overdrive,安全协议超驰,noun,,旧称：安全超载
salvage team,打捞小组,noun,,
science officer,科学专家,noun,,
Security code,安全码,noun,,
Sensor,传感器,noun,Sensors,不要译成 感应器
Sensor Array,传感器阵列,noun,,
Sensor Jammer,传感干扰器,noun,,
sensors officer,传感器技师,noun,,玩家舰队中的专业人士
shuttle,穿梭机,noun,,
Star Fortress,星际要塞,noun,,
Starforge,星际锻炉,noun,,通常指速子殖民地Culann
Supreme Executor,最高行政官,noun,,辛达强权势力领袖的称呼之一
tactical officer,战术副官,noun,,玩家舰队中的专业人士
tech mining,技术挖掘,noun,,指挖坟回收古代科技，有相关殖民地建筑
tech officer,技术专家,noun,,玩家舰队中的专业人士
technological inspection,科技审查,noun,,
terraforming,地貌改造,noun,,
the Domain,人之领,noun,Domain,
transponder,应答器,noun,,
Transverse Jump,横轴跳跃,noun,,一种危险性极高的技巧，用于突入超空间或回到星系空间
Tri-Tachyon,速子科技,noun,tritachyon,
TriLink,}TriLink},noun,,英仙座流行的社交软件
TriPad,TriPad,noun,"tripad
Tripad",使用原文不翻译
turn rate,转向速度,noun,,
warlord,军阀,noun,,通常是海盗
Warning Beacon,警告航标,noun,,
XIV Battlegroup,第十四战斗群,noun,,
Yellow Star,黄矮星,noun,,
[REDACTED],[数据删除],noun,,